Study_code,Sample_ID,00940_Cl_mg_per_L,00945_SO4_mg_per_L_as_SO4,71851_NO3_mg_per_L_as_NO3,71856_NO2_mg_per_L_as_NO2,00950_F_mg_per_L
S19S,S19S_0001_ANI-1,1.33,10,0.32,Below_Range_Less_Than_0.04,0.06
S19S,S19S_0001_ANI-2,1.34,9.71,0.27,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0001_ANI-3,1.33,10.4,0.34,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0003_ANI-1,0.3,9.8,0.19,Below_Range_Less_Than_0.04,0.07
S19S,S19S_0003_ANI-2,0.31,8.03,0.23,Below_Range_Less_Than_0.04,0.07
S19S,S19S_0003_ANI-3,0.31,8.62,0.23,Below_Range_Less_Than_0.04,0.06
S19S,S19S_0004_ANI-1,1.83,6.53,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.07
S19S,S19S_0004_ANI-2,2,6.66,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.08
S19S,S19S_0005_ANI-1,31.94,242.56,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.13
S19S,S19S_0005_ANI-2,33.9,259.29,0.96,Below_Range_Less_Than_0.04,0.16
S19S,S19S_0005_ANI-3,34.06,262.38,0.38,Below_Range_Less_Than_0.04,0.16
S19S,S19S_0006_ANI-1,311.31,33.45,6.43,Below_Range_Less_Than_0.04,Below_Range_Less_Than_0.02
S19S,S19S_0006_ANI-2,286.25,30.48,6.1,Below_Range_Less_Than_0.04,0.12
S19S,S19S_0006_ANI-3,284.53,29.97,6.14,Below_Range_Less_Than_0.04,0.09
S19S,S19S_0007_ANI-1,0.39,0.19,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0007_ANI-2,0.41,0.24,0.41,Below_Range_Less_Than_0.04,0.03
S19S,S19S_0007_ANI-3,0.38,0.18,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0008_ANI-1,0.22,0.23,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.03
S19S,S19S_0008_ANI-2,0.21,0.24,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,Below_Range_Less_Than_0.02
S19S,S19S_0008_ANI-3,0.21,0.22,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.03
S19S,S19S_0009_ANI-1,6.96,160.13,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.21
S19S,S19S_0009_ANI-2,6.73,157.71,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.23
S19S,S19S_0009_ANI-3,6.76,158.01,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.22
S19S,S19S_0010_ANI-1,7.44,13.55,0.85,Below_Range_Less_Than_0.04,0.11
S19S,S19S_0010_ANI-2,7.24,13.32,0.81,Below_Range_Less_Than_0.04,0.11
S19S,S19S_0010_ANI-3,7.31,13.39,0.84,Below_Range_Less_Than_0.04,0.1
S19S,S19S_0011_ANI-1,3.07,3.03,2.99,Below_Range_Less_Than_0.04,0.07
S19S,S19S_0011_ANI-2,3.09,3.01,2.97,Below_Range_Less_Than_0.04,0.07
S19S,S19S_0011_ANI-3,3.13,3.31,2.96,Below_Range_Less_Than_0.04,0.09
S19S,S19S_0012_ANI-1,20.29,4.07,0.31,Below_Range_Less_Than_0.04,0.06
S19S,S19S_0012_ANI-2,20.49,4,0.39,Below_Range_Less_Than_0.04,0.06
S19S,S19S_0012_ANI-3,20.64,4.01,0.37,Below_Range_Less_Than_0.04,0.06
S19S,S19S_0013_ANI-1,2.85,3.17,0.97,Below_Range_Less_Than_0.04,0.06
S19S,S19S_0013_ANI-2,2.79,3.1,0.8,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0013_ANI-3,2.82,3.12,0.89,0.05,0.06
S19S,S19S_0014_ANI-1,19.97,18.52,12.19,Below_Range_Less_Than_0.04,0.21
S19S,S19S_0014_ANI-2,19.01,17.47,12,Below_Range_Less_Than_0.04,0.22
S19S,S19S_0014_ANI-3,19.19,17.59,11.93,Below_Range_Less_Than_0.04,0.22
S19S,S19S_0015_ANI-1,6.12,4.23,4.28,Below_Range_Less_Than_0.04,0.07
S19S,S19S_0015_ANI-2,6.06,4.18,4.08,Below_Range_Less_Than_0.04,0.07
S19S,S19S_0015_ANI-3,5.99,4.12,3.97,Below_Range_Less_Than_0.04,0.06
S19S,S19S_0016_ANI-1,1.9,36.2,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.36
S19S,S19S_0016_ANI-2,1.77,34.49,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.32
S19S,S19S_0016_ANI-3,1.71,33.63,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.34
S19S,S19S_0017_ANI-1,2.52,8.08,1.2,Below_Range_Less_Than_0.04,0.16
S19S,S19S_0017_ANI-2,2.45,8.04,1.28,Below_Range_Less_Than_0.04,0.14
S19S,S19S_0017_ANI-3,2.43,8.25,1.27,Below_Range_Less_Than_0.04,0.19
S19S,S19S_0018_ANI-1,5.11,4.59,4.62,Below_Range_Less_Than_0.04,0.1
S19S,S19S_0018_ANI-2,0.81,2.05,1.18,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0018_ANI-3,0.39,1.52,0.71,Below_Range_Less_Than_0.04,0.06
S19S,S19S_0019_ANI-1,0.81,1.56,0.23,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0019_ANI-2,0.93,1.77,0.21,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0019_ANI-3,0.89,1.72,0.24,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0020_ANI-1,11.81,36.24,0.38,Below_Range_Less_Than_0.04,0.09
S19S,S19S_0020_ANI-2,11.77,36.68,0.28,Below_Range_Less_Than_0.04,0.09
S19S,S19S_0020_ANI-3,11.76,36.38,0.34,Below_Range_Less_Than_0.04,0.09
S19S,S19S_0021_ANI-1,13.06,64.12,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.11
S19S,S19S_0021_ANI-2,13.64,63.66,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.12
S19S,S19S_0021_ANI-3,13.04,64.18,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.1
S19S,S19S_0022_ANI-1,1.49,0.54,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.07
S19S,S19S_0022_ANI-2,1.45,0.69,0.17,Below_Range_Less_Than_0.04,0.07
S19S,S19S_0022_ANI-3,1.46,0.68,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0023_ANI-1,4.86,1.55,0.19,Below_Range_Less_Than_0.04,1.31
S19S,S19S_0023_ANI-2,4.62,1.52,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,1.23
S19S,S19S_0023_ANI-3,4.7,1.55,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,1.24
S19S,S19S_0024_ANI-1,2.79,5.13,1.71,Below_Range_Less_Than_0.04,0.08
S19S,S19S_0024_ANI-2,2.72,4.99,1.69,Below_Range_Less_Than_0.04,0.07
S19S,S19S_0024_ANI-3,2.63,4.88,1.69,Below_Range_Less_Than_0.04,0.07
S19S,S19S_0025_ANI-1,100.78,27.12,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.19
S19S,S19S_0025_ANI-2,105.86,28.6,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.23
S19S,S19S_0025_ANI-3,99.36,26.51,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.2
S19S,S19S_0026_ANI-1,Below_Range_Less_Than_0.16,1.22,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0026_ANI-2,Below_Range_Less_Than_0.16,0.55,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.03
S19S,S19S_0026_ANI-3,Below_Range_Less_Than_0.16,1.2,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0027_ANI-1,0.2,1.99,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0027_ANI-2,Below_Range_Less_Than_0.16,1.93,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0027_ANI-3,Below_Range_Less_Than_0.16,1.99,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0028_ANI-1,10.98,14.1,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.57
S19S,S19S_0028_ANI-2,10.87,13.85,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.6
S19S,S19S_0028_ANI-3,10.79,13.64,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.57
S19S,S19S_0029_ANI-1,10.54,77.74,0.23,Below_Range_Less_Than_0.04,0.1
S19S,S19S_0029_ANI-2,10.25,75.5,0.24,Below_Range_Less_Than_0.04,0.12
S19S,S19S_0029_ANI-3,10.08,74.24,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.11
S19S,S19S_0030_ANI-1,0.67,0.3,0.24,Below_Range_Less_Than_0.04,0.03
S19S,S19S_0030_ANI-2,0.68,0.43,1.81,Below_Range_Less_Than_0.04,0.03
S19S,S19S_0030_ANI-3,0.79,0.35,6.61,Below_Range_Less_Than_0.04,0.03
S19S,S19S_0031_ANI-1,0.55,0.26,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,Below_Range_Less_Than_0.02
S19S,S19S_0031_ANI-2,0.53,0.25,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,Below_Range_Less_Than_0.02
S19S,S19S_0031_ANI-3,1.26,2.6,Below_Range_Less_Than_0.12,0.05,0.03
S19S,S19S_0032_ANI-1,0.47,2.18,0.18,Below_Range_Less_Than_0.04,0.03
S19S,S19S_0032_ANI-2,1.99,1.52,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.09
S19S,S19S_0032_ANI-3,0.22,0.16,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,Below_Range_Less_Than_0.02
S19S,S19S_0033_ANI-1,22.62,9.7,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.41
S19S,S19S_0033_ANI-2,22.6,9.56,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.41
S19S,S19S_0033_ANI-3,22.51,9.12,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.38
S19S,S19S_0034_ANI-1,0.5,3.5,1.17,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0034_ANI-2,0.45,3.62,1.12,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0034_ANI-3,0.24,1.48,1.18,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0035_ANI-1,1.93,3.65,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.27
S19S,S19S_0035_ANI-2,1.88,3.53,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.26
S19S,S19S_0036_ANI-1,2.23,12.11,0.89,Below_Range_Less_Than_0.04,0.11
S19S,S19S_0036_ANI-2,1.95,11.52,1.05,Below_Range_Less_Than_0.04,0.09
S19S,S19S_0036_ANI-3,2.09,11.77,0.99,Below_Range_Less_Than_0.04,0.1
S19S,S19S_0037_ANI-1,13.43,18,18.17,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0037_ANI-2,14.04,18.7,18.11,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0037_ANI-3,13.38,18.14,18.18,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0038_ANI-1,12.44,17.88,18.18,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0038_ANI-2,12.52,17.95,18.55,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0038_ANI-3,12.44,17.85,18.5,Below_Range_Less_Than_0.04,0.06
S19S,S19S_0039_ANI-1,9.67,13.28,7.82,0.11,0.16
S19S,S19S_0039_ANI-2,9.73,13.48,7.87,0.1,0.18
S19S,S19S_0039_ANI-3,9.59,13.46,7.95,0.1,0.19
S19S,S19S_0040_ANI-1,1.72,31.91,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.37
S19S,S19S_0040_ANI-2,1.58,31.14,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.34
S19S,S19S_0040_ANI-3,1.74,31.19,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.32
S19S,S19S_0041_ANI-1,2.72,4.66,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.11
S19S,S19S_0041_ANI-2,2.83,4.85,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.1
S19S,S19S_0041_ANI-3,2.8,4.76,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.1
S19S,S19S_0042_ANI-1,1719.1,209.18,0.54,Below_Range_Less_Than_0.04,Below_Range_Less_Than_0.02
S19S,S19S_0042_ANI-2,1845.35,225.73,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,Below_Range_Less_Than_0.02
S19S,S19S_0042_ANI-3,1625.46,200.39,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,Below_Range_Less_Than_0.02
S19S,S19S_0043_ANI-1,35.22,22.81,50.69,Below_Range_Less_Than_0.04,0.1
S19S,S19S_0043_ANI-2,37.82,25.12,46.8,Below_Range_Less_Than_0.04,0.1
S19S,S19S_0043_ANI-3,36.76,23.48,50.78,Below_Range_Less_Than_0.04,0.1
S19S,S19S_0044_ANI-1,7.5,4.68,0.4,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0044_ANI-2,7.54,4.45,0.21,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0044_ANI-3,7.64,4.64,1.31,Below_Range_Less_Than_0.04,0.06
S19S,S19S_0045_ANI-1,96.69,121.39,32.71,0.29,0.12
S19S,S19S_0045_ANI-2,105.05,132.65,32.99,0.29,0.16
S19S,S19S_0045_ANI-3,95.96,120.28,32.79,0.27,0.13
S19S,S19S_0046_ANI-1,Below_Range_Less_Than_0.16,0.31,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,Below_Range_Less_Than_0.02
S19S,S19S_0046_ANI-2,Below_Range_Less_Than_0.16,0.34,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,Below_Range_Less_Than_0.02
S19S,S19S_0046_ANI-3,Below_Range_Less_Than_0.16,0.48,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.03
S19S,S19S_0047_ANI-1,Below_Range_Less_Than_0.16,33.61,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0047_ANI-2,Below_Range_Less_Than_0.16,18.9,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0047_ANI-3,Below_Range_Less_Than_0.16,33.22,0.15,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0048_ANI-1,7.74,3.49,1.29,Below_Range_Less_Than_0.04,Below_Range_Less_Than_0.02
S19S,S19S_0048_ANI-2,7.78,3.73,1.31,Below_Range_Less_Than_0.04,Below_Range_Less_Than_0.02
S19S,S19S_0048_ANI-3,7.71,3.49,1.28,Below_Range_Less_Than_0.04,0.03
